gene_id,role,
LOC101741268,"zinc finger protein 135, transcript variant X2",
LOC101745111,"zinc finger and BTB domain-containing protein 24, transcript variant X2",
LOC101739052,"nuclear receptor subfamily 2 group E member 1, transcript variant X1",
LOC101746595,"nuclear pore complex protein Nup153, transcript variant X2",
LOC101738352,zinc finger protein SNAI2,
LOC101740018,"forkhead box protein L2, transcript variant X1",
LOC101745000,"homeobox protein araucan, transcript variant X1",
LOC101740424,"homeobox protein caupolican, transcript variant X1",
LOC119629212,nuclear transcription factor Y subunit gamma-like,
LOC101742114,"nuclear receptor subfamily 2 group E member 1-like, transcript variant X1",
Ybp,Y-box protein,
LOC101743555,"zinc finger protein 271, transcript variant X3",
Ftz-f1,"nuclear hormone receptor FTZ-F1, transcript variant X3",
LOC101741693,"forkhead box protein F1-A, transcript variant X1",
LOC101745203,zinc finger protein 266,
LOC101745307,LIM homeobox transcription factor 1-beta,
LOC101739053,"F-box/WD repeat-containing protein 7, transcript variant X2",
LOC101745591,"DNA-binding protein D-ETS-3, transcript variant X3",
LOC101742200,zinc finger protein 791,
LOC101746751,zinc finger protein 260,
LOC101740962,"zinc finger CCCH domain-containing protein 13, transcript variant X1",
LOC101740401,zinc finger protein 85,
LOC101745466,homeobox protein Hox-B4,
LOC105841466,homeobox protein GBX-2,
LOC101739777,"zinc finger protein OZF, transcript variant X2",
LOC101743380,"homeobox even-skipped homolog protein 1, transcript variant X2",
LOC101744106,homeobox protein MSH-A,
LOC101745407,"bromodomain adjacent to zinc finger domain protein 2B, transcript variant X1",
LOC101736247,"zinc finger protein Xfin, transcript variant X2",
LOC101739896,segmentation polarity homeobox protein engrailed-like,
Inv,invected homeodomain,
LOC101735745,F-box/LRR-repeat protein 20,
LOC101740129,"U5 small nuclear ribonucleoprotein 40 kDa protein, transcript variant X1",
LOC101740631,PEST proteolytic signal-containing nuclear protein,
LOC101740771,AN1-type zinc finger protein 4,
LOC101742147,F-box/LRR-repeat protein 15,
LOC101736753,"zinc finger-containing ubiquitin peptidase 1, transcript variant X2",
LOC101737715,"zinc finger protein 791, transcript variant X3",
LOC101737853,"oocyte zinc finger protein XlCOF6, transcript variant X2",
LOC101740728,dorsal root ganglia homeobox protein,
LOC101740517,DNA-binding protein RFXANK,
LOC101737083,"zinc finger protein 2 homolog, transcript variant X4",
LOC101735348,"homeobox protein 5, transcript variant X6",
LOC101746212,"zinc finger protein 252, transcript variant X1",
LOC101739559,"zinc finger CCHC domain-containing protein 9, transcript variant X1",
LOC101744001,zinc finger protein 277,
LOC101735414,meiotic nuclear division protein 1 homolog,
LOC101744930,zinc finger HIT domain-containing protein 1,
LOC101741563,"zinc finger CCHC domain-containing protein 24, transcript variant X1",
LOC119630299,myb/SANT-like DNA-binding domain-containing protein 3,
LOC101735802,"nuclear factor of activated T-cells 5, transcript variant X6",
LOC101736813,probable RNA polymerase II nuclear localization protein SLC7A6OS,
LOC101736853,"zinc finger protein ush, transcript variant X3",
LOC101737547,"zinc finger protein Gfi-1b, transcript variant X2",
LOC101741073,"homeobox protein aristaless, transcript variant X1",
LOC101737825,"homeobox protein aristaless, transcript variant X1",
LOC101740295,polycomb protein Asx,
LOC101744619,"zinc finger protein Xfin, transcript variant X1",
LOC101743694,polycomb group protein Psc,
LOC101743842,"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1, transcript variant X2",
LOC101744234,zinc finger protein SNAI2,
LOC101746270,F-box/SPRY domain-containing protein 1,
LOC101744262,nuclear fragile X mental retardation-interacting protein 1,
LOC101744906,"LIM/homeobox protein Lhx3, transcript variant X2",
LOC693064,"nuclear hormone receptor HR38, transcript variant X1",
