gene_id,role,
LOC5575829,zinc finger protein-like 1 homolog,
LOC110674708,homeobox protein Hox-A1-like,
LOC5574745,"116 kDa U5 small nuclear ribonucleoprotein component, transcript variant X2",
LOC5572036,"forkhead box protein P1-B, transcript variant X5",
LOC5572033,"nuclear factor 1, transcript variant X3",
LOC110674735,paired box protein Pax-6-like,
LOC5574322,"paired box protein Pax-6, transcript variant X3",
LOC5566531,"zinc finger protein 236, transcript variant X4",
LOC5578495,"zinc finger protein 2, transcript variant X1",
LOC5569477,zinc finger protein 160,
LOC5574714,"nuclear factor of activated T-cells 5, transcript variant X3",
LOC5574718,gastrula zinc finger protein XlCGF57.1,
LOC5574720,zinc finger protein 567,
LOC110681531,acidic leucine-rich nuclear phosphoprotein 32-related protein-like,
LOC110674785,zinc finger protein 391-like,
LOC5575946,zinc finger and BTB domain-containing protein 49,
LOC5580061,zinc finger protein 90,
LOC5580063,zinc finger protein 224,
LOC5564913,oocyte zinc finger protein XlCOF22,
LOC5576500,zinc finger protein squeeze,
LOC110674834,"nuclear transcription factor Y subunit gamma, transcript variant X3",
LOC5577193,46 kDa FK506-binding nuclear protein,
LOC110674838,"paired box protein Pax-1, transcript variant X1",
LOC5579474,nuclear envelope integral membrane protein 1,
LOC5573039,"polycomb protein Pcl, transcript variant X1",
LOC5579479,"nuclear mitotic apparatus protein 1, transcript variant X3",
LOC5569204,zinc finger protein 223,
LOC5569199,zinc finger protein 37 homolog,
LOC5569200,zinc finger protein 250,
LOC5566771,"nuclear pore complex protein Nup50, transcript variant X2",
LOC5573515,zinc finger protein ubi-d4,
LOC5570655,"homeobox protein B-H1, transcript variant X2",
LOC110679098,TAR DNA-binding protein 43-like,
LOC5573487,nuclear pore complex protein Nup205,
LOC110674067,zinc finger protein 710-like,
LOC5570755,zinc finger protein 652-A,
LOC5570756,zinc finger protein 91,
LOC5564370,"PR domain zinc finger protein 5, transcript variant X1",
LOC5570763,"zinc finger protein 675, transcript variant X2",
LOC5578393,zinc finger protein 436,
LOC5572383,"probable nuclear transport factor 2, transcript variant X2",
LOC5564150,F-box/LRR-repeat protein 4,
LOC5576371,zinc finger imprinted 3,
LOC5574247,"zinc finger protein 239, transcript variant X4",
LOC5574249,GATA zinc finger domain-containing protein 1,
LOC5569918,pituitary homeobox homolog Ptx1,
LOC5571305,"forkhead box protein K1, transcript variant X4",
LOC5576597,zinc finger protein OZF,
LOC5576587,nuclear nucleic acid-binding protein C1D,
LOC110674272,zinc finger BED domain-containing protein 5-like,
LOC5574981,zinc finger protein 62,
LOC5574979,zinc finger protein 91,
LOC5574969,zinc finger and BTB domain-containing protein 49,
LOC5577022,zinc finger protein 708,
LOC5573529,"forkhead box protein K2, transcript variant X3",
LOC5580118,"nuclear pore complex protein Nup153, transcript variant X1",
LOC5580059,zinc finger protein 62,
LOC5580060,zinc finger protein 91,
LOC5580124,zinc finger protein 431,
LOC5580123,zinc finger protein OZF,
LOC5580130,zinc finger protein 1,
LOC110674278,paired box protein Pax-6-like,
LOC5570709,"zinc finger protein SNAI2, transcript variant X2",
LOC110676660,PR domain zinc finger protein 2-like,
LOC110676675,meiosis-specific nuclear structural protein 1-like,
LOC5571562,meiosis-specific nuclear structural protein 1,
LOC5565950,zinc finger and SCAN domain-containing protein 21,
LOC5565270,"RING-box protein 1A, transcript variant X1",
LOC5565271,"zinc finger CCCH domain-containing protein 13, transcript variant X1",
LOC5576304,"zinc finger SWIM domain-containing protein 8, transcript variant X1",
LOC5576309,"zinc finger protein 234, transcript variant X2",
LOC5566947,zinc finger protein 423,
LOC5564073,"zinc finger protein 2, transcript variant X2",
LOC5571508,zinc finger protein ubi-d4,
LOC5578497,"TOX high mobility group box family member 3, transcript variant X5",
LOC5579200,bromodomain adjacent to zinc finger domain protein 1A,
LOC5577891,homeobox protein slou,
LOC5563797,homeobox protein Hmx,
LOC5578146,U1 small nuclear ribonucleoprotein C,
LOC5565263,hematopoietically-expressed homeobox protein hhex,
LOC5575090,homeobox protein homothorax,
LOC5575091,homeobox protein homothorax,
LOC5575469,zinc finger protein hangover,
LOC5568534,"homeobox protein goosecoid, transcript variant X2",
LOC5576867,"forkhead box protein O, transcript variant X2",
LOC5573867,"F-box/LRR-repeat protein 7, transcript variant X7",
LOC5568153,"muscle segmentation homeobox, transcript variant X1",
LOC5568152,muscle-specific homeobox protein tinman,
LOC5568159,homeobox protein bagpipe,
LOC5566189,"homeobox protein B-H2, transcript variant X1",
LOC5566198,"T-cell leukemia homeobox protein 3, transcript variant X1",
LOC5569463,nuclear export mediator factor NEMF homolog,
LOC5577507,zinc finger protein 37,
LOC5577409,homeobox protein MSH-B,
LOC23687749,"B-box type zinc finger protein ncl-1, transcript variant X1",
LOC5577423,nuclear protein 1,
LOC5577400,zinc finger protein 878,
LOC5577404,zinc finger imprinted 3,
LOC5577401,zinc finger protein weckle,
LOC5577398,"zinc finger protein 2 homolog, transcript variant X2",
LOC110680508,U4/U6 small nuclear ribonucleoprotein Prp4-like,
LOC5572737,zinc finger protein 184,
LOC5572738,zinc finger protein 547,
LOC5572739,zinc finger and BTB domain-containing protein 41,
LOC5572740,zinc finger protein 37,
LOC5567803,"zinc finger protein 70, transcript variant X2",
LOC5567802,"zinc finger protein 41, transcript variant X1",
LOC5572743,zinc finger protein 91,
LOC5567799,zinc finger protein 83,
LOC5567797,zinc finger protein 665,
LOC5567794,"zinc finger protein 275, transcript variant X1",
LOC5567789,"single-stranded DNA-binding protein, mitochondrial",
LOC110674308,FLYWCH-type zinc finger-containing protein 1-like,
LOC5578993,homeobox protein Nkx-2.1,
LOC5573372,"heterogeneous nuclear ribonucleoprotein 87F, transcript variant X1",
LOC5567514,homeobox protein rough,
LOC5572596,zinc finger protein 62 homolog,
LOC5572595,"DEAD-box helicase Dbp80, transcript variant X2",
LOC5572588,zinc finger and BTB domain-containing protein 17,
