gene_id,role
LOC100678172,box A-binding factor
LOC100677881,GATA zinc finger domain-containing protein 24
LOC100678407,"dorsal root ganglia homeobox protein, transcript variant X2"
LOC100120145,"single-stranded DNA-binding protein 3, transcript variant X5"
LOC100680201,nuclear transcription factor Y subunit B-1
LOC100123119,homeobox protein extradenticle-like
LOC103315530,GS homeobox 1-like
LOC100123298,"heterogeneous nuclear ribonucleoprotein U-like protein 2, transcript variant X2"
LOC100680084,"homeobox protein rough, transcript variant X3"
LOC100123664,"zinc finger and SCAN domain-containing protein 10, transcript variant X2"
LOC100123675,"heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog, transcript variant X7"
LOC100678718,"asparagine-rich zinc finger protein AZF1, transcript variant X1"
LOC100123815,"homeobox protein HMX2, transcript variant X1"
LOC100123882,"nuclear distribution protein nudE-like 1-A, transcript variant X3"
LOC100123890,forkhead box protein O
LOC100123931,"forkhead box protein K2, transcript variant X1"
LOC100680509,proline-rich nuclear receptor coactivator 2
LOC100120395,nuclear envelope integral membrane protein 1
LOC100115578,"RING-box protein 1A, transcript variant X2"
LOC100121587,nuclear pore complex protein Nup153
LOC100121348,"homeobox protein caupolican, transcript variant X1"
LOC100121331,"iroquois-class homeodomain protein IRX-3, transcript variant X2"
LOC100119570,ZZ-type zinc finger-containing protein 3
LOC100116523,U1 small nuclear ribonucleoprotein 70 kDa
LOC100678520,"zinc finger protein 595, transcript variant X1"
LOC100678264,"zinc finger BED domain-containing protein 1, transcript variant X1"
LOC100118169,"nuclear factor NF-kappa-B p100 subunit, transcript variant X3"
LOC103318028,zinc finger and BTB domain-containing protein 49
LOC100115092,nuclear transcription factor Y subunit alpha-like
LOC100114090,zinc finger matrin-type protein 2-like
LOC100121812,zinc finger protein 135
LOC100121130,"DNA-binding protein RFX2, transcript variant X1"
LOC100679869,"motor neuron and pancreas homeobox protein 1, transcript variant X3"
LOC100680193,"zinc finger and SCAN domain-containing protein 2, transcript variant X4"
LOC100121528,"HMG box-containing protein 4, transcript variant X1"
LOC100677806,nuclear RNA export factor 2
LOC100121687,"zinc finger MYM-type protein 3, transcript variant X1"
LOC100121815,"forkhead box protein C2-A, transcript variant X1"
LOC100116011,F-box only protein 32
LOC100679183,zinc finger protein 512B-like
LOC103316423,"H2.0-like homeobox protein, transcript variant X1"
LOC100114448,"visual system homeobox 2, transcript variant X1"
LOC100117267,"zinc finger protein 768, transcript variant X6"
LOC100115805,"zinc finger protein on ecdysone puffs, transcript variant X1"
LOC100115727,nuclear hormone receptor FTZ-F1
LOC103315952,"zinc finger imprinted 3-like, transcript variant X2"
LOC100115700,putative U5 small nuclear ribonucleoprotein 200 kDa helicase
LOC100115904,"NK-tumor recognition protein, transcript variant X8"
LOC116416977,zinc finger protein 423-like
LOC116416980,zinc finger protein 423-like
LOC116417019,zinc finger protein 423-like
LOC116416974,zinc finger protein 423-like
LOC116415764,"zinc finger BED domain-containing protein 4-like, transcript variant X3"
LOC100116256,"F-box only protein 6, transcript variant X2"
LOC100115874,nuclear cap-binding protein subunit 2-like
LOC100680375,"F-box/LRR-repeat protein 3, transcript variant X4"
LOC100216504,small nuclear ribonucleoprotein polypeptide C-like
LOC107981942,"zinc finger BED domain-containing protein 1, transcript variant X2"
LOC100119258,"forkhead box protein D2, transcript variant X1"
LOC103317166,"F-box/LRR-repeat protein 7-like, transcript variant X2"
LOC107980465,"F-box/LRR-repeat protein 4-like, transcript variant X2"
LOC100115647,"F-box only protein 6, transcript variant X2"
LOC100115606,F-box only protein 44
LOC100118356,"F-box/WD repeat-containing protein 7, transcript variant X5"
LOC103317865,zinc finger protein 593 homolog
LOC100121697,"polycomb protein suz12-B, transcript variant X3"
LOC100122286,"ankyrin repeat and SOCS box protein 8, transcript variant X3"
LOC100114151,"CCHC-type zinc finger protein CG3800, transcript variant X5"
LOC100678124,PR domain zinc finger protein 10
LOC100122853,nuclear hormone receptor HR96
LOC100114401,zinc finger CCCH domain-containing protein 15 homolog
LOC100123536,nuclear pore complex protein Nup93
LOC100678349,"zinc finger protein 208, transcript variant X4"
LOC100123727,zinc finger CCHC-type and RNA-binding motif-containing protein 1
LOC100123796,"G-box-binding factor, transcript variant X7"
LOC100116934,"homeobox protein PKNOX1, transcript variant X4"
LOC100116859,"brain-specific homeobox protein-like, transcript variant X2"
LOC100678509,"nuclear pore complex protein Nup160 homolog, transcript variant X8"
Snrpf,small nuclear ribonucleoprotein polypeptide F
LOC100119562,"zinc finger protein 160, transcript variant X7"
LOC100118797,"forkhead box protein O-like, transcript variant X1"
LOC100678780,"HMG box-containing protein 4-like, transcript variant X2"
LOC100113502,"nuclear pore complex protein Nup205, transcript variant X1"
LOC100113552,NF-X1-type zinc finger protein NFXL1
LOC100113671,"nuclear inhibitor of protein phosphatase 1, transcript variant X1"
LOC103315993,nuclear polyadenylated RNA-binding protein 3-like
LOC107981323,zinc finger protein 600-like
LOC103315883,"zinc finger BED domain-containing protein 1-like, transcript variant X2"
LOC100114484,"DNA-binding protein Ets97D, transcript variant X2"
LOC100114233,"gastrula zinc finger protein XlCGF57.1, transcript variant X1"
LOC100113601,nuclear RNA export factor 1
LOC116416063,zinc finger protein 423-like
LOC100116035,GATA zinc finger domain-containing protein 14
LOC100117976,T-box transcription factor TBX20-like
LOC100117904,T-box transcription factor TBX20
LOC100679231,homeobox protein B-H2
LOC100120191,"zinc finger protein 594, transcript variant X3"
LOC100121225,paired mesoderm homeobox protein 2
LOC100679111,zinc finger protein Xfin
LOC100115676,polycomb group protein Pc
LOC100116404,zinc finger protein 813
LOC100116603,"zinc finger CCHC domain-containing protein 24, transcript variant X9"
LOC100678373,"zinc finger protein 77, transcript variant X11"
LOC100113703,F-box-like/WD repeat-containing protein TBL1XR1
LOC100117569,"HMG box-containing protein 4, transcript variant X1"
LOC100680400,"nuclear receptor coactivator 2, transcript variant X3"
LOC100120126,"LIM/homeobox protein Lhx3, transcript variant X1"
LOC100121196,"zinc finger protein chinmo, transcript variant X3"
LOC100679875,zinc finger protein 544-like
LOC100121652,"inner nuclear membrane protein Man1, transcript variant X1"
LOC100114282,PEST proteolytic signal-containing nuclear protein
LOC100122304,"nuclear cap-binding protein subunit 3, transcript variant X7"
LOC100678426,"DNA-binding protein RFX7, transcript variant X3"
LOC100680087,"zinc finger protein 346, transcript variant X1"
LOC100123017,enhancer of polycomb
LOC100114709,nuclear cap-binding protein subunit 2
LOC100118198,"SPRY domain-containing SOCS box protein 3, transcript variant X1"
LOC100117821,zinc finger protein 37
LOC100117352,F-box/SPRY domain-containing protein 1
LOC100119958,TATA-box-binding protein 2
Nfyc,"nuclear transcription factor Y, gamma, transcript variant X2"
LOC100119315,"zinc finger protein 502, transcript variant X1"
LOC100118480,hepatocyte nuclear factor 3-beta
LOC100118031,F-box only protein 42
LOC100678037,zinc finger protein 395
LOC100114665,"probable nuclear transport factor 2, transcript variant X1"
LOC100116284,inhibitor of nuclear factor kappa-B kinase subunit beta
LOC100123896,zinc finger HIT domain-containing protein 3
LOC100123856,"GATA zinc finger domain-containing protein 10, transcript variant X1"
LOC100123669,U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase
LOC100123606,polycomb protein eed
LOC100123573,T-box-containing protein TBX6L-like
LOC100123387,"homeobox protein cut, transcript variant X2"
LOC100123354,nuclear pore complex protein Nup88
LOC100123343,"zinc finger protein 420, transcript variant X5"
LOC100680147,"zinc finger protein 346, transcript variant X1"
LOC103317248,"zinc finger protein 449, transcript variant X2"
LOC100679030,"zinc finger CCCH domain-containing protein 13-like, transcript variant X3"
LOC100122342,nuclear pore complex protein Nup214
LOC100122164,F-box/LRR-repeat protein 14
LOC100121566,nuclear pore complex protein Nup54
LOC100121549,zinc finger protein GLI2
LOC100121307,"homeobox protein extradenticle, transcript variant X6"
LOC100121201,box C/D snoRNA protein 1
LOC100678024,"homeobox protein slou, transcript variant X3"
LOC100679444,zinc finger CCCH-type with G patch domain-containing protein
LOC100119051,"chromodomain-helicase-DNA-binding protein 7, transcript variant X4"
