gene_id,role,
GBIM_00164,Homeobox protein aristaless,
GBIM_00257,Zinc finger protein 512b-like protein,
GBIM_00302,F-box/LRR-repeat protein 2,
GBIM_00454,F-box only protein 25,
GBIM_00475,Homeobox protein homothorax,
GBIM_00482,Ets DNA-binding protein pokkuri,
GBIM_00568,Zinc finger RAD18 domain-containing protein C1orf124-like,
GBIM_00573,Homeobox protein Hmx,
GBIM_00649,Zinc finger protein squeeze,
GBIM_00653,Zinc finger matrin-type protein 2,
GBIM_00672,Probable small nuclear ribonucleoprotein Sm D2,
GBIM_00768,Nuclear receptor-binding protein homolog,
GBIM_00856,Zinc finger protein ZIC 1,
GBIM_00903,Nuclear hormone receptor FTZ-F1,
GBIM_00904,Nuclear hormone receptor FTZ-F1,
GBIM_00954,F-box/LRR-repeat protein 5,
GBIM_00987,Homeobox protein cut,
GBIM_01042,Zinc finger protein rotund,
GBIM_01132,DNA-binding protein D-ETS-4,
GBIM_01239,Homeobox protein abdominal-A homolog,
GBIM_01339,Zinc finger protein chinmo,
GBIM_01377,Zinc finger protein 1,
GBIM_01415,Homeobox protein B-H1,
GBIM_01421,Muscle segmentation homeobox,
GBIM_01424,"Homeobox protein MSX-1, putative",
GBIM_01461,Testis-specific zinc finger protein topi,
GBIM_01498,Nuclear protein localization protein 4,
GBIM_01499,Nuclear protein localization protein 4 homolog,
GBIM_01780,Zinc finger protein 570,
GBIM_01894,Putative homeodomain transcription factor,
GBIM_01929,U1 small nuclear ribonucleoprotein C,
GBIM_01955,Zinc finger HIT domain-containing protein 3,
GBIM_02139,Probable nuclear hormone receptor HR38,
GBIM_02284,Regulation of nuclear pre-mRNA domain-containing protein 1B,
GBIM_02405,Polycomb protein PHO,
GBIM_02414,Probable small nuclear ribonucleoprotein G,
GBIM_02435,46 kDa FK506-binding nuclear protein,
GBIM_02468,Inner nuclear membrane protein Man1,
GBIM_02524,RING-box protein 1A,
GBIM_02592,Zinc finger protein basonuclin-2,
GBIM_02606,Zinc finger protein on ecdysone puffs,
GBIM_02620,Homeobox protein aristaless,
GBIM_02649,Putative DNA-binding protein C17orf49-like protein,
GBIM_02656,Polycomb protein Asx,
GBIM_02661,Nuclear transcription factor Y subunit beta,
GBIM_02671,F-box-like/WD repeat-containing protein ebi,
GBIM_02732,Homeobox protein homothorax,
GBIM_02737,T-box transcription factor TBX20,
GBIM_02739,T-box protein H15,
GBIM_02779,Homeobox protein homothorax,
GBIM_02782,Homeobox protein araucan,
GBIM_02937,Zinc finger protein 593,
GBIM_03033,Zinc finger MYM-type protein 3,
GBIM_03050,Nuclear pore complex protein Nup98-Nup96,
GBIM_03083,Acidic leucine-rich nuclear phosphoprotein 32 family member A,
GBIM_03358,GTP-binding nuclear protein,
GBIM_03418,Zinc finger protein weckle,
GBIM_03559,Nuclear cap-binding protein subunit 1,
GBIM_03604,Zinc finger protein 706,
GBIM_03806,Chromodomain-helicase-DNA-binding protein 1,
GBIM_03936,"Heterogeneous nuclear ribonucleoprotein A1, A2/B1-like protein",
GBIM_03954,Proliferating cell nuclear antigen,
GBIM_03961,F-box/WD repeat-containing protein 7,
GBIM_04029,Nuclear pore complex protein Nup154,
GBIM_04185,Homeobox protein H17,
GBIM_04331,Putative nuclear hormone receptor ftz-f1 beta-like isoform 1,
GBIM_04337,Polycomb protein SCMH1,
GBIM_04379,Homeobox protein rough,
GBIM_04394,U1 small nuclear ribonucleoprotein A,
GBIM_04442,Testis-specific zinc finger protein topi,
GBIM_04450,Testis-specific zinc finger protein topi,
GBIM_04455,DNA-binding protein Ets97D,
GBIM_04483,"Zinc finger protein SWIM domain-containing protein, putative",
GBIM_04609,Zinc finger protein on ecdysone puffs,
GBIM_04734,Zinc finger CCHC domain-containing protein 9,
GBIM_04758,Zinc finger protein squeeze,
GBIM_04870,Forkhead box protein O,
GBIM_05070,Zinc finger CCHC domain-containing protein 8 homolog,
GBIM_05211,Paired box protein Pax-6,
GBIM_05274,F-box/LRR-repeat protein 7,
GBIM_05323,Zinc finger CCCH domain-containing protein 7,
GBIM_05407,DNA-binding protein D-ETS-3,
GBIM_05408,DNA-binding protein D-ETS-3,
GBIM_05430,Fez family zinc finger protein erm,
GBIM_05462,Polycomb group protein Psc,
GBIM_05476,"Nuclear factor, putative",
GBIM_05482,Homeobox protein aristaless,
